Timestamp,Shelby ABB-521 Frequency Delta (dF/dt),Shelby ABB-521 Digital Value 1,Shelby ABB-521 Status Flags,Shelby ABB-521 Frequency
01-Sep-2022 01:32:51.833,-0.1,0.0,8228.0,59.972
01-Sep-2022 01:32:51.866,-0.04,0.0,8228.0,59.963
01-Sep-2022 01:32:51.900,-1.74,0.0,8228.0,59.975
01-Sep-2022 01:32:51.933,-0.05,0.0,8228.0,59.961
01-Sep-2022 01:32:51.966,0.76,0.0,8228.0,59.962
01-Sep-2022 01:32:52.000,-0.45,0.0,8228.0,59.961
01-Sep-2022 01:32:52.033,-0.14,0.0,8228.0,59.968
01-Sep-2022 01:32:52.066,-0.49,0.0,8228.0,59.957
01-Sep-2022 01:32:52.100,0.38,0.0,8228.0,59.961
01-Sep-2022 01:32:52.133,-0.2,0.0,8228.0,59.965
01-Sep-2022 01:32:52.166,-0.97,0.0,8228.0,59.965
01-Sep-2022 01:32:52.200,0.34,0.0,8228.0,59.97
01-Sep-2022 01:32:52.233,1.83,0.0,8228.0,59.967
01-Sep-2022 01:32:52.266,0.24,0.0,8228.0,59.964
01-Sep-2022 01:32:52.300,0.8,0.0,8228.0,59.965
01-Sep-2022 01:32:52.333,0.91,0.0,8228.0,59.968
01-Sep-2022 01:32:52.366,0.6,0.0,8228.0,59.962
01-Sep-2022 01:32:52.400,-0.66,0.0,8228.0,59.963
01-Sep-2022 01:32:52.433,-0.18,0.0,8228.0,59.966
01-Sep-2022 01:32:52.466,-0.88,0.0,8228.0,59.96
01-Sep-2022 01:32:52.500,-0.81,0.0,8228.0,59.959
01-Sep-2022 01:32:52.533,0.2,0.0,8228.0,59.962
01-Sep-2022 01:32:52.566,-0.2,0.0,8228.0,59.963
01-Sep-2022 01:32:52.600,0.81,0.0,8228.0,59.966
01-Sep-2022 01:32:52.633,0.1,0.0,8228.0,59.959
01-Sep-2022 01:32:52.666,-0.48,0.0,8228.0,59.967
01-Sep-2022 01:32:52.700,0.94,0.0,8228.0,59.964
01-Sep-2022 01:32:52.733,-0.19,0.0,8228.0,59.959
01-Sep-2022 01:32:52.766,-0.16,0.0,8228.0,59.963
01-Sep-2022 01:32:52.800,-0.48,0.0,8228.0,59.968
01-Sep-2022 01:32:52.833,0.76,0.0,8228.0,59.963
01-Sep-2022 01:32:52.866,-0.81,0.0,8228.0,59.966
01-Sep-2022 01:32:52.900,0.38,0.0,8228.0,59.961
01-Sep-2022 01:32:52.933,0.13,0.0,8228.0,59.968
01-Sep-2022 01:32:52.966,0.21,0.0,8228.0,59.962
01-Sep-2022 01:32:53.000,-0.12,0.0,8228.0,59.965
01-Sep-2022 01:32:53.033,-0.24,0.0,8228.0,59.964
01-Sep-2022 01:32:53.066,-0.19,0.0,8228.0,59.963
01-Sep-2022 01:32:53.100,0.08,0.0,8228.0,59.963
01-Sep-2022 01:32:53.133,-0.19,0.0,8228.0,59.964
01-Sep-2022 01:32:53.166,0.12,0.0,8228.0,59.967
01-Sep-2022 01:32:53.200,-0.13,0.0,8228.0,59.967
